what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1410615337282
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1410615337313
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1410615337344
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1410615337377
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1410615337407
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1410615337438
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1410615337469
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1410615337500
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1410615337531
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1410615337563
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1410615337595
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1410615337802
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1410615337947
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1410615338298
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1410615338662
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1410615338823
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1410615339009
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1410615339186
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1410615339379
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1410615339890
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1410615345821
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1410615346953
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1410615355036
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1410615372514
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1410615375590
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1410615377239
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1410615377826
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1410615384499
no handler,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1410615385252
no handler,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1410615387022
no handler,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1410615387376
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1410615389477
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1410615390133
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1410615392027
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1410615393025
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1410615435531
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1410615452740
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1410615457318
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1410615458951
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1410615459712
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1410615471519
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1410615633688
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1410615635491
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1410617409085
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1410617536438
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1410617673572
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1410617703358
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1410617704485
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1410617707178
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1410623750976
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1410623752281
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1410623753061
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1410623753191
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1410623754749
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1410623755072
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1410623756580
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1410623756705
